repo_name,gl_web_url,project_id
Nice.ApplicationPlugins.Reconstruction,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ApplicationPlugins.Reconstruction,5331
Nice.ApplicationPlugins.ComplianceDashboard,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ApplicationPlugins.ComplianceDashboard,5330
ApplicationPlugins.ComplianceReview,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.ComplianceReview,5767
Nice.ComplianceReview,https://tlvgit03.nice.com/fmc-rd/cs/css/Nice.ComplianceReview,5462
ApplicationPlugins.ObserveRunnerConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.ObserveRunnerConfiguration,5458
Nice.MediaSources.Files,https://tlvgit03.nice.com/fmc-rd/cs/csms/Nice.MediaSources.Files,5769
Nice.MediaSources.NIM.MiniBus,https://tlvgit03.nice.com/fmc-rd/cs/csms/Nice.MediaSources.NIM.MiniBus,5770
ApplicationFramework.Jobs,https://tlvgit03.nice.com/fmc-rd/cs/apfjobs/ApplicationFramework.Jobs,5437
ApplicationFramework.Jobs.Plugins.HistoricalIndexing.NTR,https://tlvgit03.nice.com/fmc-rd/cs/apfjobs/ApplicationFramework.Jobs.Plugins.HistoricalIndexing.NTR,5438
ApplicationFramework.ExternalUserSources,https://tlvgit03.nice.com/fmc-rd/cs/applicationframework/ApplicationFramework.ExternalUserSources,5431
CS.InteractionAPI,https://tlvgit03.nice.com/fmc-rd/cs/cs/CS.InteractionAPI,5345
Nice.Microsoft.ARR,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Nice.Microsoft.ApplicationRequestRouting,5386
Nice.Microsoft.IISRewrite,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Nice.Microsoft.IISRewrite,5387
Nice.Microsoft.IISRewrite.Utils.Setup.targets,https://tlvgit03.nice.com/fmc-rd/cs/in/Nice.Microsoft.IISRewrite.Utils,5476
Supervision.Auditing,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Auditing,5491
Supervision.Setup,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.CoreApi.Communications,5399
Supervision.UI,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.UI,5493
Corelibraries.RabbitMq.Clients,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.RabbitMQ.Clients,5477
Corelibraries.RabbitMq,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.RabbitMQ,5420
Nice.ApplicationFramework,https://tlvgit03.nice.com/fmc-rd/cs/applicationframework/Nice.ApplicationFramework,5432
Nice.ApplicationFramework.Client,https://tlvgit03.nice.com/fmc-rd/cs/applicationframework/Nice.ApplicationFramework.Client,5433
ApplicationPlugins.RoleConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/apl/ApplicationPlugins.RoleConfiguration,5771
Compass.Configuration,https://tlvgit03.nice.com/fmc-rd/cs/com/Compass.Configuration,5442
Compass.Reporting,https://tlvgit03.nice.com/fmc-rd/cs/com/Compass.Reporting,5443
UIControls.Explorer,https://tlvgit03.nice.com/fmc-rd/cs/auc/UIControls.Explorer,5435
Bootstrapper.Generic,https://tlvgit03.nice.com/fmc-rd/cs/essentials/Bootstrapper.Generic,5397
CyberTech.MAX,https://tlvgit03.nice.com/fmc-rd/cs/com/CyberTech.MAX,5447
HTML5 Player,https://tlvgit03.nice.com/fmc-rd/cs/auc/UIControls.Html5Player,5436
Nice.MediaSources.NTR,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.MediaSources.NTR,5346
Cybertech.CoreApi,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.CoreApi,5400
ApplicationFramework.NDRWrapper,https://tlvgit03.nice.com/fmc-rd/cs/cs/ApplicationFramework.NDRWrapper,5340
CoreLibraries.Logging,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Logging,5478
TranscriptionAgent,https://tlvgit03.nice.com/fmc-rd/cs/cs/TranscriptionAgent,5341
ApplicationPlugins.Fusion.Alarms,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.Alarms,5468
ApplicationPlugins.Fusion.AuditTrail,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.AuditTrail,5469
ApplicationPlugins.Fusion.GlobalSettings,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.GlobalSettings,5470
ApplicationPlugins.Fusion.LitigationHoldRules,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.LitigationHoldRules,5472
ApplicationPlugins.Fusion.NtrClustersAdministration,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.NtrClustersAdministration,5471
ApplicationPlugins.Fusion.NtrClustersStatus,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.NtrClustersStatus,5473
ApplicationPlugins.Fusion.UserAdministration,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.UserAdministration,5474
RabbitMQ,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/RabbitMQ,5405
ApplicationFramework.Reporting,https://tlvgit03.nice.com/fmc-rd/cs/applicationframework/ApplicationFramework.Reporting,5434
ApplicationPlugins.Labels,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.Labels,5459
ApplicationPlugins.Monitoring,https://tlvgit03.nice.com/fmc-rd/cs/apl/ApplicationPlugins.Monitoring,5440
ApplicationPlugins.RandomSampling,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.RandomSampling,5460
NiceTradingRecording.Shared,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Shared,5452
NexidiaSearchgrid.Configurationplugin,https://tlvgit03.nice.com/fmc-rd/cs/cs/NexidiaSearchGrid.ConfigurationPlugin,5348
Nice.ActiveIntelligenceEngine.ODBC,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine.ODBC,5351
Nice.ApplicationPlugins.Explorer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ApplicationPlugins.Explorer,5352
Nice.AppPlugins.FieldConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.AppPlugins.FieldConfiguration,5354
Nice.AppPlugins.IndexingConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.AppPlugins.IndexingConfiguration,5375
Nice.NDR.Synchronization.Attivio,https://tlvgit03.nice.com/fmc-rd/cs/cs/nice.ndr.synchronization.attivio,5356
Nice.ProActiveCompliance.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ProactiveCompliance.Installer,5357
Bloomberg,https://tlvgit03.nice.com/fmc-rd/cs/siip/Bloomberg,5483
MsgFileConnector,https://tlvgit03.nice.com/fmc-rd/cs/siip/MsgFileConnector,5484
EmailMailBoxConnector,https://tlvgit03.nice.com/fmc-rd/cs/siip/EmailMailboxFileConnector,5485
YieldBroker,https://tlvgit03.nice.com/fmc-rd/cs/siip/YieldBroker,5486
FXT,https://tlvgit03.nice.com/fmc-rd/cs/siip/FXT,5487
TRC,https://tlvgit03.nice.com/fmc-rd/cs/siip/ThomsonReuters,5488
Reconciliation Report,https://tlvgit03.nice.com/fmc-rd/cs/siip/ReconciliationReporting,5489
Base,https://tlvgit03.nice.com/fmc-rd/cs/sicc/Base,5481
StandardConnectivityKit,https://tlvgit03.nice.com/fmc-rd/cs/sicc/StandardConnectivityKit,5482
SmartIndex Linux Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/S3Downloader,5382
Nice.ActiveIntelligence.Core,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine.Core,5370
ActiveIntelligence.Installer.Utils,https://tlvgit03.nice.com/fmc-rd/cs/cs/Connectors,5359
ActiveIntelligence.Setup,https://tlvgit03.nice.com/fmc-rd/cs/cs/ActiveIntelligenceEngine.Setup,5376
Nice.ActiveIntelligenceEngine,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine,5377
CommunicationWorkItemPublisher,https://tlvgit03.nice.com/fmc-rd/cs/cs/CommunicationWorkItemPublisher,5358
HTR,https://tlvgit03.nice.com/fmc-rd/cs/ex/nice-integration,5464
Retention Manager,https://tlvgit03.nice.com/fmc-rd/cs/ex/Nice.SmartIndex.IndexRetentionManager,5465
BOA Scenario Report,https://tlvgit03.nice.com/fmc-rd/cs/cs/Scenario.Interaction.Details.Importer,5378
Monitoring Reporting,https://tlvgit03.nice.com/fmc-rd/cs/cs/CSMonitoringRepor,5381
ApplicationPlugins.Fusion.CallSearch,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.CallSearch,5475
MediaSources.NTR.Configuration,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Configuration,5512
NiceTradingRecording.ExternalUserSource,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.ExternalUserSource,5453
NiceTradingRecording.Plugin,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Plugin,5455
Nice.Microsoft.vcredist100_x64,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Nice.Microsoft.vcredist100,5390
Erlang,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Erlang,5412
Alvas.Audio,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Alvas.Audio,5394
ApplicationFramework.ConfigurationService,https://tlvgit03.nice.com/fmc-rd/cs/cs/ApplicationFramework.ConfigurationService,5361
Nice.ProactiveCompliance.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ProactiveCompliance.Installer,5357
SmartIndexInstaller.Linux,https://tlvgit03.nice.com/fmc-rd/cs/cs/SmartIndexInstaller.Linux,5362
TranscriptionAgent.Bootstrapper,https://tlvgit03.nice.com/fmc-rd/cs/cs/TranscriptionAgent.Bootstrapper,5371
Supervision.Installer,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Installer,5494
Supervision.Reconcilliation,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Reconcilliation,5495
IndependentObserve,https://tlvgit03.nice.com/fmc-rd/cs/cs/IndependentObserve,5363
EmailFilterService,https://tlvgit03.nice.com/fmc-rd/cs/cs/EmailFilterService,5383
CS-ActOne,https://tlvgit03.nice.com/fmc-rd/cs/cs/CS-ActOne,5374
AVA.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/AVA.Installer,5364
RCMPlugins,https://tlvgit03.nice.com/fmc-rd/cs/csp/RCMPlugins,5461
InstallerDownloader,https://tlvgit03.nice.com/fmc-rd/cs/cs-test-tooling/InstallerDownloader,5419
Nice.QueryLevelReporting,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.QueryLevelReporting,5365
AttivioApi,https://tlvgit03.nice.com/fmc-rd/cs/cs/AttivioApi,5366
AVA-Reports,https://tlvgit03.nice.com/fmc-rd/cs/cs/AVA-Reports,5384
CoreLibraries.Nexidia.SearchGrid.Client,https://tlvgit03.nice.com/fmc-rd/cs/cs/CoreLibraries.Nexidia.SearchGrid.Client,5367
CyberTech.AlarmingV2,https://tlvgit03.nice.com/fmc-rd/cs/com/CyberTech.AlarmingV2,5446
CyberTech.Alarming,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.Alarming,5401
CyberTechLibraries,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTechLibraries,5402
CyberTech.RecorderDatabase,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.RecorderDatabase,5403
CoreLibraries.Alarming.Interface,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Alarming.Interface,5413
Nice.Connector.Attivio,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.Connector.Attivio,5368
CoreLibraries.Wix,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Wix,5479
CS.InstallationPrerequisites,https://tlvgit03.nice.com/fmc-rd/cs/cs/CS.InstallationPrerequisites,5372
CoreLibraries,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries,5421
CyberTech.SystemManager,https://tlvgit03.nice.com/fmc-rd/cs/com/CyberTech.SystemManager,5448
SharedLibraries.Authorization,https://tlvgit03.nice.com/fmc-rd/cs/com/SharedLibraries.Authorization,5449
CoreLibraries.Encryption,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Encryption,5414
Nice.HelperLibraries.SecureDelete,https://tlvgit03.nice.com/fmc-rd/cs/essentials/Nice.HelperLibraries.SecureDelete,5415
CoreLibraries.Audio.Converter,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.Audio.Converter,5422
CoreLibraries.Audio.NMF,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Audio.NMF,5480
CoreLibraries.Audio.Utils,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.Audio.Utils,5423
CoreLibraries.Licensing,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Licensing,5416
IOSP.REST,https://tlvgit03.nice.com/fmc-rd/cs/cs/IOSP.REST,5369
LibMp3Lame,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/LibMp3Lame,5395
NiceTradingRecording.Configuration.Interface,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Configuration.Interface,5456
CoreLibraries.Wcf,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Wcf,5417
SystemOverview.Authentication.Fusion,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Authentication.Fusion,5496
SystemOverview.Compass.Channels.Plugin,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Compass.Channels.Plugin,5497
SystemOverview.Webservice,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Webservice,5498
SystemOverview.Installer,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Installer,5499
NiceApplications.Playback,https://tlvgit03.nice.com/fmc-rd/cs/ex/NiceApplications.Playback,5466
CoreLibraries.SQL.MySQL,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.SQL.MySQL,5424
Monitoring.Client,https://tlvgit03.nice.com/fmc-rd/cs/cs/Monitoring.Client,5506
Observe.REST,https://tlvgit03.nice.com/fmc-rd/cs/cs/Observe.REST,5507
