,job_name
0,ActiveIntelligence_Installer_Utils
1,ActiveIntelligence_Setup
2,Alvas_Audio
3,ApplicationFramework_ConfigurationService
4,ApplicationFramework_ExternalUserSources
5,ApplicationFramework_Jobs
6,ApplicationFramework_Jobs_Plugins_HistoricalIndexing_NTR
7,ApplicationFramework_NDRWrapper
8,ApplicationFramework_Reporting
9,ApplicationPlugins_ComplianceReview
10,ApplicationPlugins_Fusion_Alarms
11,ApplicationPlugins_Fusion_AuditTrail
12,ApplicationPlugins_Fusion_CallSearch
13,ApplicationPlugins_Fusion_GlobalSettings
14,ApplicationPlugins_Fusion_LitigationHoldRules
15,ApplicationPlugins_Fusion_NtrClustersAdministration
16,ApplicationPlugins_Fusion_NtrClustersStatus
17,ApplicationPlugins_Fusion_UserAdministration
18,ApplicationPlugins_Labels
19,ApplicationPlugins_Monitoring
20,ApplicationPlugins_ObserveRunnerConfiguration
21,ApplicationPlugins_RandomSampling
22,ApplicationPlugins_RoleConfiguration
23,Attivio_4x
24,BOA_Scenario_Report
25,Base
26,Bloomberg
27,Bootstrapper_Generic
28,CIE
29,CS_InteractionAPI
30,CommunicationWorkItemPublisher
31,Communication_Intelligence_Export
32,Compass_Configuration
33,Compass_Configuration_Plugin
34,Compass_Reporting
35,Compass_Reporting_Plugin
36,Connectors
37,CoreLibraries
38,CoreLibraries_Audio_Converter
39,CoreLibraries_Audio_NMF
40,CoreLibraries_Logging
41,CoreLibraries_SQL_MySQL
42,CoreLibraries_Wix
43,Corelibraries_RabbitMq
44,Corelibraries_RabbitMq_Clients
45,CyberTech_MAX
46,Cybertech_CoreApi
47,EmailMailBoxConnector
48,FXT
49,HTML5_Player
50,HTR
51,IOSP_REST
52,MediaSources_NTR_Shared
53,Monitoring_Reporting
54,MsgFileConnector
55,NexidiaSearchgrid_Configurationplugin
56,NiceApplications_Playback
57,NiceTradingRecording_Shared
58,Nice_ActiveIntelligenceEngine
59,Nice_ActiveIntelligenceEngine_ODBC
60,Nice_ActiveIntelligence_Core
61,Nice_AppPlugins_FieldConfiguration
62,Nice_AppPlugins_IndexingConfiguration
63,Nice_ApplicationFramework
64,Nice_ApplicationFramework_Client
65,Nice_ApplicationPlugins_ComplianceDashboard
66,Nice_ApplicationPlugins_Explorer
67,Nice_ApplicationPlugins_Reconstruction
68,Nice_ComplianceReview
69,Nice_Connector_Attivio
70,Nice_MediaSources_Files
71,Nice_MediaSources_NIM_MiniBus
72,Nice_MediaSources_NTR
73,Nice_Microsoft_ARR
74,Nice_Microsoft_IIS75_AppInitialization_wxs
75,Nice_Microsoft_IISRewrite
76,Nice_Microsoft_IISRewrite_Utils_Setup_targets
77,Nice_NDR_Synchronization_Attivio
78,Nice_ProActiveCompliance_Installer
79,Nice_SmartIndex_IndexRetentionManager
80,Observe.REST
81,Observe_REST
82,RabbitMQ
83,RandomSampling_Rest
84,Reconciliation_Report
85,Retention_Manager
86,S3Downloader
87,SmartIndex_Linux_Installer
88,StandardConnectivityKit
89,Supervision_Auditing
90,Supervision_Installer
91,Supervision_Setup
92,Supervision_UI
93,SystemOverview
94,SystemOverview_AuditTrail_Fusion
95,SystemOverview_Authentication_Fusion
96,SystemOverview_Compass_Channels_Plugin
97,SystemOverview_Installer
98,TRC
99,TranscriptionAgent
100,UIControls_Explorer
101,ActiveIntelligenceEngine_Installer_Utils
102,TranscriptionAgent_Bootstrapper
